"Ustar (m/s)","Wall Y+","Wall Shear Stress: Magnitude (Pa)","X (m)","Y (m)","Z (m)"
0.028485538036496026,0.14175878336365769,0.81000456070523874,0.44887500000000002,0.15175,0
0.028000594563742182,0.13934514257786365,0.78266639843769126,0.44662500000000005,0.15175,0
0.028109966658077735,0.13988881143240622,0.78879139845788404,0.44437500000000002,0.15175,0
0.027724007538025543,0.13796719853597431,0.76728531343155282,0.44212499999999999,0.15175,0
0.027717443706948539,0.1379334830427027,0.76692227591201456,0.43987500000000002,0.15175,0
0.027452767931422702,0.13661541782625847,0.75234959044505045,0.43762500000000004,0.15175,0
0.027373363269073595,0.13621987662936491,0.74800504801508305,0.43537500000000001,0.15175,0
0.027171979860180235,0.13521815123913228,0.73704271095529417,0.43312499999999998,0.15175,0
0.027054512866140253,0.13463471021730417,0.73068580767535163,0.43087500000000001,0.15175,0
0.026884459829656798,0.13378979726838133,0.72153181515486775,0.42862500000000003,0.15175,0
0.026748410314420362,0.13311370744295986,0.71424980495609125,0.42637500000000006,0.15175,0
0.026592781750836347,0.13233921154670819,0.70596507897907612,0.42412500000000003,0.15175,0
0.026448871231308149,0.13162165603573531,0.6983471463494928,0.421875,0.15175,0
0.026299009932481212,0.13087291636736781,0.6904581081633423,0.41962500000000003,0.15175,0
0.026152944533142635,0.13014147801221709,0.68281199897086253,0.41737500000000005,0.15175,0
0.026005249491148241,0.12940039502263967,0.6751238474597554,0.41512500000000002,0.15175,0
0.025858934866757624,0.12866483341850732,0.66755045178109362,0.41287499999999999,0.15175,0
0.025712377361659967,0.12792709264067653,0.66000729177924233,0.41062500000000002,0.15175,0
0.025566633296366981,0.12719273758300931,0.65254851574018091,0.40837500000000004,0.15175,0
0.025421188710837105,0.12645936543222042,0.64514729416742467,0.40612500000000001,0.15175,0
0.025276414413011504,0.12572895227980119,0.63782207837863902,0.40387499999999998,0.15175,0
0.025132382469937421,0.12500197230015611,0.63057590132131758,0.40162500000000001,0.15175,0
0.024989092810182956,0.12427848422079268,0.62340812499275033,0.39937500000000004,0.15175,0
0.024846772114737306,0.123559627594459,0.61632935041937398,0.39712500000000001,0.15175,0
0.024705414574045886,0.12284538102121824,0.6093384698792027,0.39487499999999998,0.15175,0
0.024565319842374863,0.12213728270675636,0.60244936062118382,0.392625,0.15175,0
0.024426297830815954,0.12143449058676915,0.5956516964199664,0.39037500000000003,0.15175,0
0.02428889770513095,0.12073987188940973,0.58897121209887271,0.388125,0.15175,0
0.02415276356913269,0.12005173776988627,0.58238941516883613,0.38587499999999997,0.15175,0
0.024018591143801431,0.11937356697800518,0.57593863207597962,0.38362499999999999,0.15175,0
0.023885945847124699,0.11870341150869489,0.56959656640890277,0.38137500000000002,0.15175,0
0.023755145317897838,0.11804321393795277,0.5633770689189368,0.37912499999999999,0.15175,0
0.023626352932630091,0.11739398293685262,0.55728640239383243,0.37687499999999996,0.15175,0
0.023499558548364909,0.11675584901202499,0.55132254394168523,0.37462499999999999,0.15175,0
0.023374955489838038,0.11613012648077557,0.54549299923963168,0.37237500000000001,0.15175,0
0.023252550307896386,0.11551700327356136,0.53979643888507911,0.37012500000000004,0.15175,0
0.023132487885359605,0.1149172177004337,0.53423794366359578,0.36787500000000006,0.15175,0
0.023014814810264229,0.11433105079571086,0.52881797241728334,0.36562500000000003,0.15175,0
0.02289962369333284,0.11375879610484421,0.5235390767255701,0.363375,0.15175,0
0.022786972782081673,0.11320069780926806,0.51840219582461289,0.36112500000000003,0.15175,0
0.022676933254165865,0.11265698386767713,0.5134088407883759,0.35887500000000006,0.15175,0
0.022569546332462675,0.11212754200219632,0.50855914863250795,0.35662500000000003,0.15175,0
0.022464872129390648,0.11161253132463077,0.50385411137174063,0.354375,0.15175,0
0.022362936214843709,0.11111172684104449,0.49929317173609777,0.35212500000000002,0.15175,0
0.022263772261340426,0.11062509655092655,0.49487615602930785,0.34987500000000005,0.15175,0
0.022167387105201032,0.11015240418779497,0.4906017218792022,0.34762500000000002,0.15175,0
0.022073831998995649,0.10969354406542002,0.48647052415450837,0.34537499999999999,0.15175,0
0.021983121663531901,0.10924858561795857,0.48248162547074974,0.34312500000000001,0.15175,0
0.021895323795338862,0.10881791035446568,0.47863644655598298,0.34087500000000004,0.15175,0
0.021810434698310004,0.10840154817082201,0.47493330648213167,0.33862500000000001,0.15175,0
0.021728466937702876,0.10799955485546139,0.4713712558888582,0.33637499999999998,0.15175,0
0.021649337834532888,0.10761152372528383,0.46794528899192295,0.33412500000000001,0.15175,0
0.021573162728298897,0.10723803203050412,0.46465903021229255,0.33187500000000003,0.15175,0
0.0214997770739811,0.10687826438833474,0.4615040691506711,0.329625,0.15175,0
0.021429391034142316,0.10653326875342133,0.45848817390889401,0.32737499999999997,0.15175,0
0.021361693206020518,0.10620150005566047,0.45559679792858976,0.325125,0.15175,0
0.021297062946114498,0.105884847103997,0.45284498489059621,0.32287500000000002,0.15175,0
0.021234955201452559,0.1055806028234592,0.45020843678484829,0.32062499999999999,0.15175,0
0.021176055329143705,0.10529217747202717,0.44771519605745219,0.31837499999999996,0.15175,0
0.021119401323060831,0.10501479038280027,0.44532356190356442,0.31612499999999999,0.15175,0
0.021066217569933952,0.10475453215642912,0.44308427622842628,0.31387500000000002,0.15175,0
0.021014820362551589,0.10450303283668815,0.440925578468295,0.31162500000000004,0.15175,0
0.020967375947232365,0.10427106696637659,0.43893761190768033,0.30937500000000007,0.15175,0
0.020920962788248846,0.10404410808058226,0.43699719679339605,0.30712500000000004,0.15175,0
