%y U V uu vv uv temp
0.050805 0.545659 -0.009038 0.012159 0.000710 -0.000405 0.000000
0.053090 0.558317 -0.007601 0.008039 0.000746 -0.000513 0.000000
0.055380 0.562828 -0.002532 0.007159 0.001089 -0.000642 0.000000
0.057670 0.564262 0.003441 0.005289 0.002018 -0.000890 0.000000
0.059960 0.558523 0.007679 0.004951 0.002883 -0.001138 0.000000
0.062250 0.552219 0.011265 0.004759 0.003599 -0.001376 0.000000
0.064540 0.546171 0.013749 0.004655 0.004108 -0.001569 0.000000
0.066830 0.540021 0.015405 0.004628 0.004688 -0.001786 0.000000
0.069120 0.534948 0.017202 0.004670 0.005093 -0.001982 0.000000
0.071410 0.530027 0.018358 0.004802 0.005300 -0.002083 0.000000
0.073700 0.525927 0.019651 0.004864 0.005472 -0.002175 0.000000
0.075990 0.522032 0.020368 0.005020 0.005549 -0.002271 0.000000
0.078280 0.519214 0.020738 0.005080 0.005439 -0.002335 0.000000
0.080570 0.516446 0.020817 0.005140 0.005405 -0.002330 0.000000
0.082860 0.514806 0.021055 0.005182 0.005346 -0.002325 0.000000
0.085150 0.513166 0.020679 0.005202 0.005249 -0.002296 0.000000
0.087440 0.512500 0.020123 0.005209 0.005082 -0.002288 0.000000
0.089730 0.511701 0.019980 0.005199 0.004873 -0.002245 0.000000
0.092015 0.511296 0.019175 0.005204 0.004728 -0.002218 0.000000
0.094305 0.510788 0.018760 0.005158 0.004564 -0.002137 0.000000
0.096595 0.510988 0.018062 0.005069 0.004290 -0.002037 0.000000
0.098885 0.511449 0.017760 0.004902 0.004052 -0.001910 0.000000
0.101180 0.511147 0.017441 0.004805 0.003857 -0.001810 0.000000
0.103470 0.511347 0.016657 0.004693 0.003634 -0.001699 0.000000
0.105760 0.512208 0.016045 0.004603 0.003457 -0.001601 0.000000
0.108050 0.512910 0.015649 0.004489 0.003270 -0.001521 0.000000
0.110330 0.513781 0.015137 0.004359 0.003092 -0.001450 0.000000
0.112620 0.514294 0.014757 0.004187 0.002927 -0.001323 0.000000
0.114910 0.515062 0.014296 0.004000 0.002803 -0.001226 0.000000
0.117200 0.515729 0.013674 0.003779 0.002605 -0.001100 0.000000
0.119490 0.516036 0.012733 0.003620 0.002419 -0.000969 0.000000
0.121780 0.516702 0.012019 0.003435 0.002244 -0.000825 0.000000
0.124080 0.516959 0.011786 0.003268 0.002089 -0.000709 0.000000
0.126360 0.516856 0.011131 0.003128 0.001945 -0.000603 0.000000
0.128650 0.516395 0.010617 0.002981 0.001798 -0.000489 0.000000
0.130940 0.515319 0.009937 0.002851 0.001639 -0.000356 0.000000
0.133230 0.513627 0.009254 0.002690 0.001481 -0.000249 0.000000
0.135530 0.511096 0.008339 0.002576 0.001306 -0.000136 0.000000
0.137810 0.507190 0.007736 0.002494 0.001141 -0.000047 0.000000
0.140100 0.501712 0.006938 0.002425 0.000981 0.000051 0.000000
0.142390 0.494173 0.005976 0.002388 0.000806 0.000128 0.000000
0.144680 0.483503 0.005367 0.002386 0.000638 0.000177 0.000000
0.146970 0.467123 0.005056 0.002390 0.000446 0.000195 0.000000
