%y U V uu vv uv temp
0.024471 -0.061423 0.050113 0.002949 0.001991 -0.002219 0.000000
0.026761 -0.064636 0.059665 0.002886 0.002088 -0.002027 0.000000
0.029051 -0.062223 0.062510 0.002842 0.002185 -0.001810 0.000000
0.031340 -0.053218 0.060485 0.002968 0.002312 -0.001715 0.000000
0.033630 -0.040147 0.057036 0.003389 0.002567 -0.001817 0.000000
0.035920 -0.021146 0.050920 0.004291 0.002915 -0.002206 0.000000
0.038209 0.007390 0.042866 0.006276 0.003360 -0.003043 0.000000
0.040499 0.052342 0.031744 0.009971 0.004046 -0.004577 0.000000
0.042789 0.116727 0.017098 0.014923 0.004816 -0.006344 0.000000
0.045078 0.196175 0.001230 0.018818 0.005192 -0.007659 0.000000
0.047368 0.279466 -0.013189 0.019366 0.005247 -0.007697 0.000000
0.049658 0.354609 -0.023543 0.016832 0.004761 -0.006445 0.000000
0.051950 0.412906 -0.028399 0.013091 0.004243 -0.004838 0.000000
0.055380 0.463479 -0.033290 0.007883 0.003291 -0.002339 0.000000
0.057670 0.480669 -0.029596 0.006110 0.003215 -0.001588 0.000000
0.059960 0.489519 -0.025515 0.005181 0.003466 -0.001242 0.000000
0.062250 0.493184 -0.022145 0.004748 0.003765 -0.001202 0.000000
0.064540 0.495249 -0.020144 0.004520 0.004046 -0.001234 0.000000
0.066830 0.496397 -0.019117 0.004431 0.004292 -0.001286 0.000000
0.069120 0.497407 -0.018141 0.004432 0.004514 -0.001339 0.000000
0.071410 0.498309 -0.016797 0.004483 0.004692 -0.001410 0.000000
0.073700 0.499370 -0.015693 0.004500 0.004799 -0.001524 0.000000
0.075990 0.500641 -0.014858 0.004587 0.004846 -0.001612 0.000000
0.078280 0.501445 -0.014236 0.004622 0.004792 -0.001654 0.000000
0.080570 0.502096 -0.013154 0.004691 0.004860 -0.001656 0.000000
0.082860 0.503465 -0.012731 0.004711 0.004774 -0.001642 0.000000
0.085150 0.504935 -0.012052 0.004717 0.004709 -0.001655 0.000000
0.087440 0.506068 -0.011363 0.004707 0.004565 -0.001716 0.000000
0.089730 0.506868 -0.009802 0.004721 0.004413 -0.001739 0.000000
0.092015 0.507806 -0.009827 0.004683 0.004244 -0.001713 0.000000
0.094305 0.509097 -0.008893 0.004624 0.004142 -0.001691 0.000000
0.096595 0.510501 -0.008600 0.004578 0.004003 -0.001596 0.000000
0.098885 0.511982 -0.008009 0.004508 0.003825 -0.001583 0.000000
0.101180 0.513371 -0.007040 0.004405 0.003641 -0.001494 0.000000
0.103470 0.514755 -0.006221 0.004338 0.003470 -0.001441 0.000000
0.105760 0.515831 -0.005438 0.004280 0.003328 -0.001389 0.000000
0.108050 0.517112 -0.004607 0.004219 0.003172 -0.001319 0.000000
0.110330 0.518752 -0.003956 0.004090 0.003042 -0.001266 0.000000
0.112620 0.520495 -0.003573 0.003908 0.002880 -0.001158 0.000000
0.114910 0.521674 -0.003005 0.003739 0.002740 -0.001061 0.000000
0.117200 0.522801 -0.002626 0.003642 0.002575 -0.000961 0.000000
0.119490 0.524236 -0.002454 0.003479 0.002420 -0.000879 0.000000
0.121780 0.525107 -0.002057 0.003288 0.002260 -0.000752 0.000000
0.124080 0.525722 -0.001883 0.003128 0.002127 -0.000633 0.000000
0.126360 0.525876 -0.001414 0.002989 0.001966 -0.000519 0.000000
0.128650 0.525210 -0.001182 0.002891 0.001834 -0.000441 0.000000
0.130940 0.524236 -0.001078 0.002789 0.001663 -0.000329 0.000000
0.133230 0.522647 -0.000412 0.002696 0.001515 -0.000252 0.000000
0.135530 0.520700 0.000034 0.002588 0.001323 -0.000157 0.000000
0.137810 0.517215 0.000376 0.002490 0.001174 -0.000062 0.000000
0.140100 0.512321 0.001067 0.002454 0.001018 0.000015 0.000000
0.142390 0.504982 0.001599 0.002385 0.000825 0.000091 0.000000
0.144680 0.494921 0.002341 0.002380 0.000609 0.000142 0.000000
0.146970 0.478521 0.003349 0.002433 0.000406 0.000179 0.000000
