%y U V uu vv uv temp
0.001574 -0.054684 0.001994 0.007464 0.000325 -0.000207 0.000000
0.003864 -0.039308 -0.004655 0.009557 0.001727 -0.001426 0.000000
0.006154 -0.029273 -0.007429 0.009402 0.002304 -0.001907 0.000000
0.008443 -0.021105 -0.009660 0.009512 0.002830 -0.002349 0.000000
0.010733 -0.012724 -0.012527 0.009848 0.003252 -0.002831 0.000000
0.013023 0.000155 -0.016163 0.010479 0.003821 -0.003406 0.000000
0.015312 0.015026 -0.020690 0.011334 0.004481 -0.004124 0.000000
0.017602 0.031157 -0.025271 0.012423 0.005049 -0.004836 0.000000
0.019892 0.048783 -0.029685 0.013638 0.005585 -0.005588 0.000000
0.022181 0.067957 -0.034299 0.015014 0.006004 -0.006293 0.000000
0.024471 0.088847 -0.038885 0.016249 0.006388 -0.006837 0.000000
0.026761 0.110910 -0.042880 0.017550 0.006711 -0.007413 0.000000
0.029051 0.134439 -0.047170 0.018617 0.006938 -0.007849 0.000000
0.031340 0.159459 -0.051691 0.019604 0.007104 -0.008151 0.000000
0.033630 0.184218 -0.055094 0.020355 0.007264 -0.008327 0.000000
0.035920 0.208787 -0.057984 0.020782 0.007237 -0.008375 0.000000
0.038209 0.233669 -0.060444 0.020879 0.007155 -0.008303 0.000000
0.040499 0.257603 -0.061925 0.020598 0.007041 -0.008061 0.000000
0.042789 0.280860 -0.062663 0.020075 0.006875 -0.007862 0.000000
0.045078 0.302795 -0.063468 0.019197 0.006633 -0.007435 0.000000
0.047368 0.323336 -0.062827 0.018224 0.006380 -0.006959 0.000000
0.049658 0.342652 -0.061905 0.017026 0.006043 -0.006370 0.000000
0.051660 0.355993 -0.062689 0.015846 0.005565 -0.005718 0.000000
0.053950 0.372813 -0.061034 0.014498 0.005278 -0.005120 0.000000
0.056240 0.387957 -0.059132 0.013281 0.004992 -0.004636 0.000000
0.058530 0.400442 -0.057262 0.012015 0.004728 -0.004119 0.000000
0.060820 0.411271 -0.055078 0.010928 0.004483 -0.003648 0.000000
0.063110 0.421029 -0.052383 0.009983 0.004287 -0.003216 0.000000
0.065400 0.429388 -0.050182 0.009119 0.004120 -0.002917 0.000000
0.067690 0.435866 -0.047643 0.008350 0.004006 -0.002654 0.000000
0.069980 0.441652 -0.045021 0.007660 0.003874 -0.002391 0.000000
0.072270 0.446434 -0.043041 0.007125 0.003800 -0.002193 0.000000
0.074560 0.450318 -0.041101 0.006599 0.003654 -0.001985 0.000000
0.076850 0.453665 -0.039156 0.006369 0.003633 -0.001891 0.000000
0.079140 0.457058 -0.037051 0.006017 0.003568 -0.001802 0.000000
0.081425 0.459994 -0.035780 0.005740 0.003541 -0.001723 0.000000
0.083715 0.462808 -0.034037 0.005513 0.003412 -0.001598 0.000000
0.086005 0.465171 -0.032498 0.005333 0.003344 -0.001527 0.000000
0.088295 0.467169 -0.031183 0.005163 0.003272 -0.001441 0.000000
0.090585 0.469163 -0.029162 0.005041 0.003218 -0.001415 0.000000
0.092875 0.471623 -0.028039 0.004886 0.003172 -0.001377 0.000000
0.095165 0.473314 -0.026545 0.004764 0.003110 -0.001346 0.000000
0.097455 0.475052 -0.025303 0.004639 0.003026 -0.001294 0.000000
0.099745 0.477061 -0.024323 0.004545 0.002929 -0.001243 0.000000
0.102030 0.478552 -0.023070 0.004442 0.002851 -0.001182 0.000000
0.104320 0.480438 -0.021610 0.004322 0.002807 -0.001119 0.000000
0.106610 0.481950 -0.020618 0.004260 0.002697 -0.001047 0.000000
0.108900 0.483539 -0.019623 0.004121 0.002551 -0.001014 0.000000
0.111190 0.484917 -0.018732 0.003969 0.002468 -0.000928 0.000000
0.113480 0.486352 -0.017806 0.003876 0.002421 -0.000865 0.000000
0.115770 0.487746 -0.016703 0.003763 0.002335 -0.000804 0.000000
0.118060 0.488551 -0.015125 0.003661 0.002248 -0.000763 0.000000
0.120350 0.489197 -0.014093 0.003573 0.002120 -0.000710 0.000000
0.122640 0.490304 -0.012990 0.003417 0.002028 -0.000613 0.000000
0.124930 0.490949 -0.011941 0.003309 0.001861 -0.000511 0.000000
0.127220 0.491011 -0.010660 0.003192 0.001751 -0.000433 0.000000
0.129520 0.490652 -0.009651 0.003051 0.001646 -0.000346 0.000000
0.131800 0.489709 -0.008827 0.002968 0.001503 -0.000256 0.000000
0.134090 0.488269 -0.007417 0.002859 0.001340 -0.000184 0.000000
0.136380 0.485660 -0.006181 0.002796 0.001233 -0.000109 0.000000
0.138670 0.481632 -0.004888 0.002698 0.001084 -0.000038 0.000000
0.140960 0.475672 -0.003530 0.002658 0.000901 0.000044 0.000000
0.143250 0.467000 -0.002027 0.002715 0.000757 0.000102 0.000000
0.145540 0.453091 -0.000144 0.002827 0.000605 0.000166 0.000000
