"Ustar (m/s)","Wall Y+","Wall Shear Stress: Magnitude (Pa)","X (m)","Y (m)","Z (m)"
0.023763842944529316,0.11826117420597279,0.5643045289782963,0.44879890475784712,0.050000734328047067,0
0.02817309423118931,0.14019888205277181,0.79305671270442279,0.44639671421521432,0.050001983196006031,0
0.0287406381703132,0.14297791215070552,0.82531289299086286,0.44399488774769502,0.049972928046653896,0
0.034827244418425343,0.17297240326428104,1.2117219151470866,0.44159653678709965,0.049852050361840539,0
0.041311523821714442,0.20400196835169007,1.7047918005073308,0.43921102256775313,0.049583162611899115,0
0.047599887896919546,0.23173433399758719,2.2631462379348011,0.43685742566943631,0.049116159114287926,0
0.051200649568368048,0.24271457207066638,2.6185695779825489,0.43456359146796558,0.048414506521562012,0
0.052043126310289345,0.23778389913433939,2.7054311458931393,0.43235119836970781,0.047485564521458037,0
0.050859530428159598,0.22327655818294337,2.5837970517175823,0.43022522406707564,0.046370975217393431,0
0.049551307740364037,0.20924196670359091,2.4525995998573178,0.4281816659491523,0.045110580418518689,0
0.046388855106170614,0.18942454476572487,2.1495455434688027,0.42620847884662311,0.043741577206948962,0
0.044638337364327006,0.17773406800119107,1.9903525574138397,0.42428866161416356,0.042298191837341376,0
0.041996268430178306,0.1641394677612022,1.7617328602148781,0.42240918738194666,0.040802430005370649,0
0.039853007796306794,0.15398024359176204,1.5864879837225712,0.42055670329596107,0.039273182731153392,0
0.037886997979124093,0.14562077476698759,1.4338223659318019,0.41871945603879823,0.037725615701917403,0
0.036163371937044102,0.13861269641351423,1.3063394620162152,0.41689285585035329,0.03616548908309318,0
0.034072929323471002,0.13071499825859734,1.1596800455526572,0.41506996213482394,0.034601015981363656,0
0.032392069044970537,0.12513341582082799,1.0480850559084038,0.41323894249530296,0.033046096655567667,0
0.031050927844999309,0.1210769238109011,0.96310313812225146,0.4113947179480647,0.031506856615554843,0
0.029840237305129108,0.11731748338629748,0.88947090211826541,0.40953890105788759,0.029981604227014281,0
0.028643352129114594,0.11344478347051402,0.8195538903002767,0.40767272760774498,0.028469039216152271,0
0.027553292598684043,0.10985855552502755,0.75836634361679811,0.40579717478992494,0.026968114564565507,0
0.026482774338900984,0.10618230857938597,0.70058501063598821,0.40391409013101387,0.025476643320499551,0
0.025444265678201874,0.10246594975765846,0.64671778273217229,0.40202567978940618,0.023991915774610913,0
0.02434649576954984,0.098380508961998847,0.59211830651422137,0.40013371617621796,0.022511716646595778,0
0.023223711979917981,0.094142544554270777,0.53876392296475883,0.39823850810833805,0.021035674976673576,0
0.022048278456465814,0.089711766885558389,0.48560599801986404,0.39633873127427027,0.019565522336658717,0
0.020931579989159708,0.085571123152799203,0.43766063745415468,0.3944320922700334,0.018104288788534751,0
0.019842871826987796,0.081533499583926458,0.3933161112293912,0.39251758885476878,0.016653372224553157,0
0.018714657147335442,0.077253842046596785,0.34986118180116266,0.39059596072252567,0.015211902428295199,0
0.017459312254101838,0.07251390196486171,0.3044976334054168,0.38866370657417731,0.013784749571515875,0
0.016384734072231209,0.068697789495829928,0.26816844870667289,0.38671311570381633,0.012382837996965108,0
0.015265591280137811,0.064737555364314733,0.23278575845209179,0.38473935307358664,0.011013776408838917,0
0.014232281301535579,0.061119332191135377,0.20233863475039615,0.38273894847694689,0.0096840356178473329,0
0.013225917900891957,0.057650825102533262,0.17473600502301492,0.38070558557187667,0.008405460011706941,0
0.01237520813337491,0.054846176115868249,0.15298125693583967,0.37863407751408823,0.0071897916955354496,0
0.011594978979750072,0.052248180240629154,0.13430008890880177,0.37652309329822331,0.0060441291721541109,0
0.010879827947024601,0.049823190602349396,0.11824522593547725,0.37437233833077205,0.0049751390865066594,0
0.010229350449134195,0.047583244823721997,0.10452956791124435,0.37218161784654702,0.0039908232064997211,0
0.0096491244337519357,0.045555028218846903,0.093008481130109733,0.3699515861432271,0.0030993433771908628,0
0.0091485797958692685,0.043784020220682819,0.083609921423562342,0.36768400249100208,0.002308453228315101,0
0.0087142098350847033,0.042209785824374152,0.075859531127079063,0.36538173884540615,0.0016252978145285487,0
0.008368478258300319,0.040944384362387835,0.069960113698671625,0.36304889651901928,0.0010553848912881125,0
0.0080451934923410923,0.03967115732351488,0.064659726349784466,0.36069046750391376,0.00060311613794652237,0
0.00783266431088076,0.038838647754922372,0.061288950964305436,0.35831135898905558,0.0002779980257181726,0
0.0078544701986796323,0.039060450757635,0.061630949661227806,0.35591777059552332,8.6267454303507498e-05,0
0.0081320675926562103,0.040451338818809669,0.066064607435513498,0.35351732467944375,8.8338124264669481e-06,0
0.0084858997048635337,0.04218027224729877,0.07193915431288711,0.35111523464075167,-2.2161314952249688e-06,0
0.0086242298134390077,0.042859294445974423,0.074304367013842701,0.34871305014161252,7.5777214004835237e-07,0
0.0086033553336208012,0.042760806055071467,0.073945623404542263,0.34631085944908491,-1.1211537904995395e-07,0
0.0085284019490363336,0.042389660605263738,0.072663397493870602,0.34390866855869517,-8.9136453155925809e-08,0
0.0084340793325582194,0.041922820120150014,0.071065621893846645,0.34150647765180964,6.7376210168355119e-08,0
0.00829307513095239,0.041224086750812419,0.068709930417773082,0.3391042867213967,-1.9151016763323039e-08,0
0.0081358902827414099,0.040444567588879217,0.066130647719022995,0.33670209578831711,-7.1723258088983939e-09,0
0.0079386785215326307,0.039466019973549989,0.062964211984899821,0.33429990485521793,6.7395993153953308e-09,0
0.0077237974907075563,0.038399511728117536,0.059602446361421368,0.33189771392196593,-9.0189122389131334e-10,0
