%y U V uu vv uv temp
0.001574 -0.115748 0.004568 0.004868 0.000285 -0.000237 0.000000
0.003864 -0.117721 0.006790 0.005608 0.001183 -0.000865 0.000000
0.006154 -0.107861 0.008101 0.005607 0.001715 -0.001222 0.000000
0.008443 -0.097867 0.008893 0.005728 0.002191 -0.001539 0.000000
0.010733 -0.088201 0.008575 0.005949 0.002571 -0.001828 0.000000
0.013023 -0.076701 0.008161 0.006410 0.003027 -0.002178 0.000000
0.015312 -0.062940 0.007240 0.006937 0.003500 -0.002576 0.000000
0.017602 -0.047711 0.006424 0.007577 0.003993 -0.003027 0.000000
0.019892 -0.030860 0.003820 0.008464 0.004397 -0.003468 0.000000
0.022181 -0.011966 0.001301 0.009599 0.004982 -0.004070 0.000000
0.024471 0.008515 -0.001245 0.010880 0.005453 -0.004708 0.000000
0.026761 0.031838 -0.005254 0.012388 0.006054 -0.005440 0.000000
0.029051 0.058230 -0.009707 0.013916 0.006645 -0.006195 0.000000
0.031340 0.087427 -0.014336 0.015648 0.007277 -0.007078 0.000000
0.033630 0.119735 -0.019605 0.017470 0.007755 -0.007882 0.000000
0.035920 0.154063 -0.024923 0.019304 0.008118 -0.008630 0.000000
0.038209 0.190460 -0.029790 0.020397 0.008429 -0.009123 0.000000
0.040499 0.228370 -0.034761 0.021416 0.008574 -0.009565 0.000000
0.042789 0.265019 -0.039096 0.021458 0.008446 -0.009456 0.000000
0.045078 0.300689 -0.042405 0.020864 0.008088 -0.008990 0.000000
0.046223 0.324177 -0.051778 0.017949 0.006924 -0.007796 0.000000
0.048513 0.356495 -0.052588 0.016703 0.006541 -0.007177 0.000000
0.050805 0.386076 -0.053956 0.014966 0.006006 -0.006310 0.000000
0.053090 0.410102 -0.053628 0.013050 0.005303 -0.005198 0.000000
0.055380 0.429957 -0.051033 0.011457 0.004904 -0.004411 0.000000
0.057670 0.446090 -0.048855 0.009989 0.004521 -0.003655 0.000000
0.059960 0.457996 -0.046353 0.008714 0.004277 -0.003021 0.000000
0.062250 0.467164 -0.043369 0.007732 0.004047 -0.002457 0.000000
0.064540 0.473760 -0.039721 0.006906 0.004003 -0.002093 0.000000
0.066830 0.478250 -0.037490 0.006302 0.003954 -0.001806 0.000000
0.069120 0.481089 -0.035092 0.005839 0.003980 -0.001664 0.000000
0.071410 0.483339 -0.032808 0.005537 0.004007 -0.001564 0.000000
0.073700 0.485399 -0.031014 0.005227 0.004056 -0.001453 0.000000
0.075990 0.486967 -0.029210 0.005020 0.004137 -0.001447 0.000000
0.078280 0.488074 -0.027936 0.004865 0.004148 -0.001446 0.000000
0.080570 0.489166 -0.026461 0.004756 0.004148 -0.001462 0.000000
0.082860 0.489935 -0.025367 0.004765 0.004063 -0.001478 0.000000
0.085150 0.491165 -0.024085 0.004722 0.004011 -0.001496 0.000000
0.087440 0.492174 -0.023462 0.004684 0.003980 -0.001496 0.000000
0.089730 0.493194 -0.022522 0.004582 0.003893 -0.001478 0.000000
0.092015 0.494070 -0.021388 0.004546 0.003839 -0.001424 0.000000
0.094305 0.495039 -0.020492 0.004490 0.003706 -0.001412 0.000000
0.096595 0.496223 -0.019672 0.004473 0.003576 -0.001397 0.000000
0.098885 0.497796 -0.019225 0.004470 0.003428 -0.001336 0.000000
0.101180 0.499221 -0.018428 0.004343 0.003256 -0.001280 0.000000
0.103470 0.500718 -0.017331 0.004290 0.003155 -0.001249 0.000000
0.105760 0.501860 -0.016404 0.004181 0.003052 -0.001227 0.000000
0.108050 0.503465 -0.015243 0.004046 0.002971 -0.001160 0.000000
0.110330 0.504802 -0.014373 0.003957 0.002804 -0.001076 0.000000
0.112620 0.506350 -0.013614 0.003856 0.002693 -0.000981 0.000000
0.114910 0.507729 -0.012820 0.003763 0.002556 -0.000890 0.000000
0.117200 0.508415 -0.011923 0.003660 0.002431 -0.000815 0.000000
0.119490 0.509194 -0.010823 0.003485 0.002301 -0.000744 0.000000
0.121780 0.509825 -0.009838 0.003328 0.002173 -0.000656 0.000000
0.124080 0.510465 -0.008821 0.003173 0.002016 -0.000555 0.000000
0.126360 0.510793 -0.008096 0.003061 0.001859 -0.000466 0.000000
0.128650 0.510599 -0.006845 0.002934 0.001696 -0.000376 0.000000
0.130940 0.509927 -0.005812 0.002820 0.001540 -0.000304 0.000000
0.133230 0.508810 -0.004930 0.002694 0.001372 -0.000195 0.000000
0.135530 0.506729 -0.004254 0.002607 0.001202 -0.000112 0.000000
0.137810 0.503403 -0.003395 0.002518 0.001058 -0.000033 0.000000
0.140100 0.498319 -0.002406 0.002495 0.000885 0.000050 0.000000
0.142390 0.491349 -0.001074 0.002483 0.000711 0.000111 0.000000
0.144680 0.480084 -0.000086 0.002520 0.000498 0.000153 0.000000
0.146970 0.461588 0.001210 0.002674 0.000336 0.000186 0.000000
