%y U V uu vv uv temp
0.001574 0.144484 0.004949 0.008622 0.000261 -0.000106 0.000000
0.003864 0.166511 0.001154 0.008243 0.000787 -0.000453 0.000000
0.006154 0.177202 0.001077 0.008088 0.001253 -0.000753 0.000000
0.008443 0.184638 0.000641 0.007985 0.001727 -0.001057 0.000000
0.010733 0.189922 0.000354 0.007966 0.002113 -0.001335 0.000000
0.013023 0.196257 -0.000151 0.008020 0.002524 -0.001656 0.000000
0.015312 0.202463 -0.000703 0.008186 0.002877 -0.001932 0.000000
0.017602 0.208198 -0.001303 0.008488 0.003206 -0.002224 0.000000
0.019892 0.213518 -0.002165 0.008743 0.003483 -0.002545 0.000000
0.022181 0.219944 -0.003043 0.008959 0.003685 -0.002813 0.000000
0.024471 0.226689 -0.003357 0.009231 0.003957 -0.003107 0.000000
0.026761 0.232906 -0.003910 0.009555 0.004100 -0.003340 0.000000
0.029051 0.239266 -0.004534 0.009886 0.004249 -0.003535 0.000000
0.031340 0.246287 -0.004961 0.010196 0.004422 -0.003804 0.000000
0.033630 0.253447 -0.005451 0.010542 0.004569 -0.003980 0.000000
0.035920 0.260616 -0.006053 0.010836 0.004697 -0.004133 0.000000
0.038209 0.267817 -0.006649 0.011160 0.004864 -0.004268 0.000000
0.040499 0.275453 -0.007366 0.011447 0.004951 -0.004407 0.000000
0.042789 0.283259 -0.006852 0.011655 0.004998 -0.004518 0.000000
0.045078 0.290429 -0.007185 0.011665 0.004987 -0.004505 0.000000
0.047368 0.298731 -0.007007 0.011709 0.004961 -0.004409 0.000000
0.049658 0.305511 -0.006943 0.011760 0.004961 -0.004408 0.000000
0.051660 0.311354 -0.007325 0.011556 0.004714 -0.004289 0.000000
0.053950 0.318621 -0.006974 0.011530 0.004708 -0.004240 0.000000
0.056240 0.325427 -0.006291 0.011408 0.004664 -0.004134 0.000000
0.058530 0.332838 -0.005804 0.011223 0.004600 -0.004030 0.000000
0.060820 0.340126 -0.005365 0.010945 0.004575 -0.003907 0.000000
0.063110 0.346686 -0.005191 0.010784 0.004475 -0.003806 0.000000
0.065400 0.353615 -0.004676 0.010436 0.004363 -0.003693 0.000000
0.067690 0.360257 -0.003804 0.010077 0.004245 -0.003532 0.000000
0.069980 0.366330 -0.003141 0.009845 0.004205 -0.003411 0.000000
0.072270 0.372398 -0.002489 0.009569 0.004079 -0.003253 0.000000
0.074560 0.378568 -0.001706 0.009211 0.003952 -0.003079 0.000000
0.076850 0.384062 -0.001230 0.008827 0.003801 -0.002904 0.000000
0.079140 0.389561 -0.000764 0.008491 0.003690 -0.002747 0.000000
0.081425 0.394282 0.000214 0.008121 0.003597 -0.002607 0.000000
0.083715 0.399186 0.000305 0.007761 0.003468 -0.002453 0.000000
0.086005 0.403870 0.000699 0.007475 0.003392 -0.002334 0.000000
0.088295 0.408468 0.000958 0.007052 0.003266 -0.002164 0.000000
0.090585 0.412962 0.001151 0.006669 0.003108 -0.001969 0.000000
0.092875 0.417006 0.001168 0.006394 0.002982 -0.001843 0.000000
0.095165 0.420619 0.001556 0.006153 0.002893 -0.001744 0.000000
0.097455 0.423873 0.001849 0.005847 0.002809 -0.001623 0.000000
0.099745 0.427107 0.002378 0.005568 0.002691 -0.001467 0.000000
0.102030 0.430356 0.002655 0.005311 0.002559 -0.001345 0.000000
0.104320 0.432898 0.003109 0.005080 0.002490 -0.001257 0.000000
0.106610 0.435789 0.003133 0.004891 0.002402 -0.001149 0.000000
0.108900 0.437998 0.003287 0.004691 0.002296 -0.001060 0.000000
0.111190 0.440176 0.003523 0.004464 0.002212 -0.000954 0.000000
0.113480 0.442164 0.003674 0.004249 0.002094 -0.000830 0.000000
0.115770 0.444378 0.004005 0.004047 0.001965 -0.000733 0.000000
0.118060 0.446275 0.004199 0.003897 0.001878 -0.000640 0.000000
0.120350 0.447402 0.004403 0.003716 0.001791 -0.000565 0.000000
0.122640 0.448545 0.004580 0.003555 0.001706 -0.000494 0.000000
0.124930 0.449124 0.004380 0.003397 0.001598 -0.000402 0.000000
0.127220 0.448960 0.004294 0.003291 0.001465 -0.000313 0.000000
0.129520 0.448289 0.004291 0.003171 0.001367 -0.000241 0.000000
0.131800 0.446849 0.004253 0.003064 0.001236 -0.000161 0.000000
0.134090 0.444071 0.004516 0.003015 0.001143 -0.000108 0.000000
0.136380 0.439556 0.004788 0.003022 0.001025 -0.000015 0.000000
0.138670 0.433462 0.004574 0.003003 0.000883 0.000067 0.000000
0.140960 0.424960 0.004317 0.003003 0.000789 0.000164 0.000000
0.143250 0.412419 0.004675 0.003052 0.000675 0.000239 0.000000
0.145540 0.395363 0.004891 0.003119 0.000555 0.000266 0.000000
