%y U V uu vv uv temp
0.001574 0.040537 0.003069 0.008677 0.000297 -0.000189 0.000000
0.003864 0.062520 -0.004906 0.010240 0.001563 -0.001166 0.000000
0.006154 0.071386 -0.007881 0.009913 0.002270 -0.001659 0.000000
0.008443 0.079033 -0.010658 0.010003 0.002868 -0.002081 0.000000
0.010733 0.086310 -0.013338 0.010214 0.003293 -0.002528 0.000000
0.013023 0.096386 -0.016455 0.010721 0.003881 -0.003132 0.000000
0.015312 0.106795 -0.020020 0.011376 0.004448 -0.003766 0.000000
0.017602 0.118003 -0.023530 0.012034 0.004854 -0.004285 0.000000
0.019892 0.130103 -0.027504 0.012848 0.005252 -0.004866 0.000000
0.022181 0.142844 -0.030842 0.013738 0.005629 -0.005398 0.000000
0.024471 0.157394 -0.034580 0.014603 0.005848 -0.005784 0.000000
0.026761 0.171954 -0.037840 0.015366 0.005977 -0.006065 0.000000
0.029051 0.187139 -0.040766 0.016123 0.006164 -0.006428 0.000000
0.031340 0.202443 -0.042895 0.016661 0.006266 -0.006631 0.000000
0.033630 0.218643 -0.045251 0.017067 0.006312 -0.006768 0.000000
0.035920 0.234710 -0.046777 0.017266 0.006398 -0.006797 0.000000
0.038209 0.250300 -0.048044 0.017403 0.006329 -0.006717 0.000000
0.040499 0.265972 -0.048789 0.017324 0.006271 -0.006626 0.000000
0.042789 0.281234 -0.049601 0.016920 0.006190 -0.006430 0.000000
0.045078 0.295569 -0.049452 0.016537 0.006018 -0.006204 0.000000
0.047368 0.309658 -0.049278 0.016089 0.005901 -0.005953 0.000000
0.049658 0.322511 -0.048858 0.015461 0.005711 -0.005721 0.000000
0.051660 0.330680 -0.048994 0.015004 0.005485 -0.005395 0.000000
0.053950 0.342581 -0.048020 0.014273 0.005290 -0.005022 0.000000
0.056240 0.353405 -0.047008 0.013503 0.005071 -0.004637 0.000000
0.058530 0.363931 -0.045684 0.012776 0.004942 -0.004354 0.000000
0.060820 0.373869 -0.043715 0.012045 0.004722 -0.004036 0.000000
0.063110 0.383022 -0.042077 0.011246 0.004571 -0.003700 0.000000
0.065400 0.391284 -0.040759 0.010467 0.004402 -0.003397 0.000000
0.067690 0.398920 -0.039177 0.009774 0.004228 -0.003137 0.000000
0.069980 0.405772 -0.037676 0.009119 0.004060 -0.002912 0.000000
0.072270 0.411379 -0.036205 0.008597 0.003959 -0.002730 0.000000
0.074560 0.416811 -0.034794 0.008041 0.003813 -0.002476 0.000000
0.076850 0.421695 -0.033253 0.007579 0.003695 -0.002300 0.000000
0.079140 0.426282 -0.031863 0.007220 0.003610 -0.002197 0.000000
0.081425 0.429993 -0.030314 0.006850 0.003525 -0.002099 0.000000
0.083715 0.433749 -0.028792 0.006565 0.003469 -0.001977 0.000000
0.086005 0.437224 -0.027819 0.006237 0.003333 -0.001802 0.000000
0.088295 0.440171 -0.026666 0.005898 0.003242 -0.001736 0.000000
0.090585 0.443128 -0.025323 0.005608 0.003159 -0.001644 0.000000
0.092875 0.445839 -0.024026 0.005372 0.003092 -0.001548 0.000000
0.095165 0.448407 -0.023302 0.005177 0.002972 -0.001466 0.000000
0.097455 0.450954 -0.022024 0.005050 0.002850 -0.001371 0.000000
0.099745 0.453117 -0.020857 0.004871 0.002773 -0.001268 0.000000
0.102030 0.455448 -0.019587 0.004721 0.002695 -0.001174 0.000000
0.104320 0.457642 -0.018312 0.004595 0.002605 -0.001099 0.000000
0.106610 0.459666 -0.017350 0.004502 0.002539 -0.001059 0.000000
0.108900 0.461532 -0.016450 0.004317 0.002417 -0.000970 0.000000
0.111190 0.463285 -0.015544 0.004200 0.002322 -0.000896 0.000000
0.113480 0.464607 -0.014510 0.004089 0.002214 -0.000800 0.000000
0.115770 0.465980 -0.013477 0.003946 0.002092 -0.000742 0.000000
0.118060 0.467154 -0.012649 0.003843 0.002008 -0.000710 0.000000
0.120350 0.468287 -0.011371 0.003708 0.001914 -0.000644 0.000000
0.122640 0.469281 -0.010181 0.003547 0.001832 -0.000542 0.000000
0.124930 0.470167 -0.009374 0.003375 0.001751 -0.000484 0.000000
0.127220 0.470260 -0.008582 0.003223 0.001653 -0.000415 0.000000
0.129520 0.469276 -0.007021 0.003095 0.001524 -0.000344 0.000000
0.131800 0.467989 -0.006417 0.003026 0.001376 -0.000279 0.000000
0.134090 0.466698 -0.006166 0.003000 0.001251 -0.000155 0.000000
0.136380 0.463469 -0.005142 0.002947 0.001125 -0.000068 0.000000
0.138670 0.458631 -0.004169 0.002892 0.000982 -0.000001 0.000000
0.140960 0.451369 -0.002639 0.002856 0.000847 0.000070 0.000000
0.143250 0.440852 -0.000920 0.002920 0.000707 0.000156 0.000000
0.145540 0.424283 0.000516 0.003064 0.000568 0.000227 0.000000
