%y U V uu vv uv temp
0.043934 -0.027243 0.018022 0.015046 0.001729 -0.004056 0.000000
0.046223 -0.019845 0.017888 0.024947 0.001992 -0.005502 0.000000
0.048513 0.061192 -0.001564 0.025730 0.002153 -0.005413 0.000000
0.050805 0.430485 -0.069346 0.014335 0.002563 -0.004225 0.000000
0.053090 0.482206 -0.056073 0.008618 0.002276 -0.002277 0.000000
0.055380 0.498611 -0.042240 0.005481 0.002243 -0.001320 0.000000
0.057670 0.507426 -0.034915 0.004560 0.002607 -0.001147 0.000000
0.059960 0.512064 -0.030266 0.004263 0.003027 -0.001170 0.000000
0.062250 0.514857 -0.027356 0.004193 0.003435 -0.001290 0.000000
0.064540 0.516293 -0.024475 0.004183 0.003861 -0.001389 0.000000
0.066830 0.516805 -0.020445 0.004232 0.004254 -0.001479 0.000000
0.069120 0.517266 -0.017600 0.004283 0.004559 -0.001592 0.000000
0.071410 0.517266 -0.014662 0.004410 0.004857 -0.001696 0.000000
0.073700 0.517112 -0.012506 0.004505 0.004940 -0.001788 0.000000
0.075990 0.516754 -0.010754 0.004619 0.005038 -0.001866 0.000000
0.078280 0.516139 -0.009242 0.004712 0.005058 -0.001897 0.000000
0.080570 0.515985 -0.007270 0.004733 0.005066 -0.001934 0.000000
0.082860 0.516087 -0.005721 0.004807 0.004978 -0.001949 0.000000
0.085150 0.516497 -0.004114 0.004863 0.004911 -0.001956 0.000000
0.087440 0.516293 -0.002807 0.004927 0.004761 -0.001961 0.000000
0.089730 0.517164 -0.002080 0.004901 0.004618 -0.001915 0.000000
0.092015 0.517574 -0.001040 0.004874 0.004553 -0.001888 0.000000
0.094305 0.518394 -0.000041 0.004823 0.004384 -0.001865 0.000000
0.096595 0.519060 0.000094 0.004782 0.004206 -0.001778 0.000000
0.098885 0.519778 0.000888 0.004666 0.004004 -0.001687 0.000000
0.101180 0.520751 0.001558 0.004545 0.003786 -0.001596 0.000000
0.103470 0.521622 0.001839 0.004457 0.003599 -0.001509 0.000000
0.105760 0.522391 0.002173 0.004365 0.003449 -0.001466 0.000000
0.108050 0.523262 0.002859 0.004281 0.003288 -0.001381 0.000000
0.110330 0.524031 0.003353 0.004155 0.003112 -0.001288 0.000000
0.112620 0.525005 0.003818 0.004011 0.002955 -0.001185 0.000000
0.114910 0.526081 0.003861 0.003842 0.002771 -0.001088 0.000000
0.117200 0.526747 0.003965 0.003699 0.002610 -0.000961 0.000000
0.119490 0.527465 0.003718 0.003542 0.002444 -0.000852 0.000000
0.121780 0.528131 0.003701 0.003367 0.002277 -0.000746 0.000000
0.124080 0.528336 0.003855 0.003220 0.002130 -0.000662 0.000000
0.126360 0.528285 0.004050 0.003049 0.001946 -0.000579 0.000000
0.128650 0.528131 0.004357 0.002923 0.001802 -0.000476 0.000000
0.130940 0.527311 0.004151 0.002795 0.001604 -0.000361 0.000000
0.133230 0.525364 0.004011 0.002716 0.001451 -0.000261 0.000000
0.135530 0.523109 0.003606 0.002602 0.001279 -0.000146 0.000000
0.137810 0.519162 0.003601 0.002521 0.001134 -0.000049 0.000000
0.140100 0.514089 0.003256 0.002453 0.000958 0.000041 0.000000
0.142390 0.506832 0.002819 0.002405 0.000802 0.000101 0.000000
0.144680 0.496315 0.002873 0.002372 0.000609 0.000141 0.000000
0.146970 0.478890 0.003205 0.002388 0.000414 0.000171 0.000000
