%y U V uu vv uv temp
0.024614 0.195257 0.145268 0.003308 0.001915 0.002054 0.000000
0.026904 0.214691 0.150275 0.003380 0.002028 0.001477 0.000000
0.029194 0.231496 0.152515 0.003559 0.002175 0.000946 0.000000
0.031483 0.246143 0.153412 0.003785 0.002308 0.000482 0.000000
0.033773 0.259812 0.153360 0.003993 0.002543 0.000076 0.000000
0.036063 0.272681 0.152792 0.004222 0.002789 -0.000336 0.000000
0.038352 0.285052 0.151828 0.004551 0.003032 -0.000780 0.000000
0.040642 0.297542 0.149455 0.004857 0.003343 -0.001193 0.000000
0.042932 0.309468 0.146616 0.005164 0.003649 -0.001624 0.000000
0.045222 0.321040 0.143659 0.005428 0.003897 -0.001957 0.000000
0.047511 0.331967 0.139631 0.005838 0.004211 -0.002329 0.000000
0.049801 0.342360 0.135090 0.006149 0.004491 -0.002593 0.000000
0.052090 0.351867 0.130185 0.006471 0.004771 -0.002897 0.000000
0.055240 0.361056 0.125132 0.007065 0.005034 -0.003181 0.000000
0.057530 0.369097 0.119658 0.007299 0.005231 -0.003334 0.000000
0.059820 0.376529 0.114636 0.007574 0.005343 -0.003519 0.000000
0.062110 0.383401 0.109880 0.007678 0.005443 -0.003617 0.000000
0.064400 0.390381 0.104837 0.007913 0.005552 -0.003745 0.000000
0.066690 0.397095 0.099881 0.008025 0.005539 -0.003752 0.000000
0.068975 0.403399 0.094951 0.008127 0.005495 -0.003745 0.000000
0.071265 0.409508 0.089698 0.008075 0.005386 -0.003697 0.000000
0.073555 0.415130 0.085521 0.008027 0.005342 -0.003690 0.000000
0.075845 0.420604 0.080801 0.007949 0.005212 -0.003600 0.000000
0.078135 0.425923 0.076906 0.007904 0.005072 -0.003481 0.000000
0.080425 0.430813 0.073257 0.007795 0.004966 -0.003380 0.000000
0.082715 0.435651 0.069731 0.007724 0.004850 -0.003327 0.000000
0.085005 0.440396 0.066102 0.007545 0.004723 -0.003190 0.000000
0.087295 0.444758 0.062904 0.007353 0.004572 -0.003034 0.000000
0.089585 0.449145 0.059973 0.007088 0.004416 -0.002870 0.000000
0.091875 0.453009 0.056708 0.006817 0.004237 -0.002728 0.000000
0.094165 0.456837 0.053818 0.006653 0.004081 -0.002606 0.000000
0.096455 0.460645 0.050740 0.006356 0.003957 -0.002488 0.000000
0.098745 0.463889 0.048028 0.006227 0.003737 -0.002326 0.000000
0.101030 0.467154 0.045601 0.005979 0.003617 -0.002205 0.000000
0.103320 0.469952 0.043135 0.005817 0.003465 -0.002054 0.000000
0.105610 0.472838 0.041005 0.005586 0.003276 -0.001889 0.000000
0.107900 0.475661 0.038896 0.005305 0.003109 -0.001728 0.000000
0.110190 0.478332 0.036607 0.005045 0.002936 -0.001603 0.000000
0.112480 0.480740 0.034452 0.004809 0.002787 -0.001446 0.000000
0.114770 0.482498 0.032416 0.004555 0.002652 -0.001314 0.000000
0.117060 0.484251 0.030522 0.004357 0.002485 -0.001160 0.000000
0.119350 0.485952 0.028430 0.004109 0.002326 -0.001003 0.000000
0.121640 0.487618 0.026405 0.003879 0.002165 -0.000871 0.000000
0.123930 0.488515 0.024557 0.003644 0.002028 -0.000746 0.000000
0.126220 0.489074 0.022909 0.003440 0.001894 -0.000615 0.000000
0.128510 0.489130 0.021361 0.003263 0.001741 -0.000499 0.000000
0.130800 0.488392 0.019566 0.003129 0.001585 -0.000402 0.000000
0.133080 0.486926 0.018056 0.002997 0.001452 -0.000287 0.000000
0.135380 0.484102 0.016472 0.002865 0.001301 -0.000164 0.000000
0.137670 0.480136 0.014783 0.002761 0.001157 -0.000066 0.000000
0.139960 0.474478 0.012745 0.002681 0.000994 0.000025 0.000000
0.142250 0.466267 0.010567 0.002634 0.000841 0.000135 0.000000
0.144530 0.453516 0.008511 0.002614 0.000654 0.000206 0.000000
0.146830 0.434851 0.007117 0.002631 0.000474 0.000235 0.000000
